PWM, VEL_AN, LCD_RPM
1023, 724,46
1000, 714,44
975, 701,41
950, 698,38
925, 678,34.7
900, 667,31
2875, 623,28
850, 589,23.8
825, 626,20.8
800, 582,17
775, 599,14.1
750, 584,10.1
725, 573,7.3
700, 521,3
675, 546,0
650, 506,0
625, 548,0
600, 549,0
575, 506,0
550, 549,0
525, 506,0
500, 548,0
475, 549,0
450, 490,-4.7
425, 493,-5 
400, 517,-8.3
375, 484,-9
350, 501,-12.1
325, 458,-13
300, 467,-16.1
275, 489,-17
250, 439,-20.2
225, 426,-21.2
200, 418,-24.2
175, 419,-24.6
150, 410,-28 
125, 404,-28.4
100, 394,-32
75, 386,-32.1
50, 373,-35.6
25, 378,-36.2
0, 365,-19.7
