PWM, VEL_AN, LCD_RPM
0, 341,-46
25, 343,-44
50, 359,-42.5
75, 352,-40.5
100, 367,-39
125, 359,-36.5
150, 391,-35
175, 386,-32.7
200, 430,-30.5
225, 409,-29
250, 420,-27
275, 459,-24.5
300, 421,-22.5
325, 474,-21
350, 436,-19
375, 457,-17
400, 452,-15
425, 505,-13
450, 464,-11
475, 484,-9
500, 478,-7
525, 534,-5
550, 546,0
575, 514,0
600, 548,0
625, 549,0
650, 538,0
1023, 1023,45.5
1000, 703,42
975, 654,37.5
950, 666,33
925, 656,28
900, 637,23
875, 618,19
850, 592,13
825, 577,10
800, 541,0
775, 544,0
750, 548,0
725, 542,0
700, 549,0
675, 541,0


